제목,카테고리1,카테고리2,카테고리3,지역명,시군구명,개요
샘골가든,음식,음식점,한식,전라북도,익산시,"숭림사 가는 길에 위치한 샘골가든은 오리주물럭, 오리탕 등 오리요리 전문점으로 대부분의 야채를 직접 재배해 사용하고 있다. 주변 관광지로는 함라초당, 익산입점리고분, 웅포관광지곰개나루터, 김안균가옥, 조해영가옥, 익산 함라마을 돌담길, 숭림사 보광전, 어래산성, 유계신도비 등이 자리하고 있다."
천혜우,음식,음식점,한식,전라북도,익산시,"일류호텔에서나 맛볼 수 있는 진짜 한우 A++등급을 먹을 수 있다는 익산의 명물맛집 천혜우. 토종 암소만을 취급한다.입구에 들어서면 우측에 정육코너가 큰 공간을 차지하고 있다. 이곳에서는 한우를 구입해갈 수 있으며 선물포장도 가능하다. 장수 옥돌로 만든 돌판에서 구워먹고, 서비스로는 육회와 차돌박이, 소 막창이 제공된다.주변 관광지로는 함라초당, 익산입점리고분, 웅포관광지곰개나루터, 김안균가옥, 조해영가옥, 익산 함라마을 돌담길, 숭림사 보광전, 어래산성, 유계신도비 등이 자리하고 있다."
무진장 한우촌,음식,음식점,한식,전라북도,익산시,"무진장 한우촌은 국내산 한우암소만 취급한다. 이곳을 찾는 손님들은 단골이 대부분일 만큼 믿고 먹을 수 있는 고기를 제공한다. 무진장한우촌의 대표메뉴인 한우암소구이는 1+, 1++등급만을 사용한다. 이밖에도 안창살, 생갈비살, 육사시미, 갈비탕 등이 준비되어 있다. 익산역과 인접한 위치에 자리하고 있어 교통이 매우 편리하며 배산체육공원, 남중동오층석탑 등이 가까이에 있고 새만금과 웅포, 익산역사유적지구를 찾는 관광객들에게 주변 관광지를 모두 아우를 수 있다는 지리적인 이점이 있다."
함지박레스토랑,음식,음식점,서양식,전라북도,익산시,개업한 지 20년이 넘게 흘렀지만 여전히 깔끔함으로 단골손님들의 사랑을 받고 있다. 각종 해산물과 미트 토마토소스가 어우러진 해산물 스파게티와 소고기 안심을 그릴에 구운 안심스테이크가 인기다. 또한 단호박 돈까스는 단호박이 들어가 돈까스를 머스터드소스와 밤소스와 함께 곁들여 먹는 별미이다. 주차장이 완비되어있어 주차가 가능하며 연중무휴이다.
동해안,음식,음식점,일식,전라북도,익산시,"동해안은 활어회, 찜, 탕 전문점이며 생선회와 해물, 각종 삶은 요리들이 제공된다. 배산체육공원, 혜봉원 목조석가여래삼존상, 모현동부도, 백산서원, 매곡사 등의 관광 명소가 인근에 자리하고 있어 익산을 관광하는 데도 지리적 이점이 있다."
담소원,음식,음식점,한식,전라북도,익산시,"익산 모현동에 위치한 담소원은 퓨전 한정식과 오리요리 전문점이다. 배산체육공원, 혜봉원 목조석가여래삼존상, 모현동부도, 백산서원, 매곡사 등의 관광 명소가 인근에 자리하고 있어 익산을 관광하는 데도 지리적 이점이 있다."
서부 생선가,음식,음식점,한식,전라북도,익산시,"회는 산지에서 직송한다. 또한 조미료를 사용하지 않은 천연 재료로 만든 매운탕과 이밖에도 별미인 아귀찜이 있다.배산체육공원, 혜봉원 목조석가여래삼존상, 모현동부도, 백산서원, 매곡사 등의 관광 명소가 인근에 자리하고 있어 익산을 관광하는 데도 지리적 이점이 있다."
신토불이(익산점),음식,음식점,한식,전라북도,익산시,"신토불이에서는 삼백초를 먹여 기른 오리로 요리한다. 오리훈제는 어린이들과 노인에게도 인기가 좋고, 코스요리는 골고루 모든 메뉴를 한꺼번에 즐길 수 있다."
예우랑,음식,음식점,한식,전라북도,익산시,"전통한방 삼계탕 전문점인 ‘예우랑’은 ‘예부터 우리랑 함께해 온’이라는 뜻이다. 예우랑은 닭한마리를 칼국수까지 다 먹고 나면 밥을 볶아준다.주변 관광지로는 원광대학교 자연식물원, 익산구이리농림학교축산과교사, 부송동유적 등이 자리하고 있다."
황토성 한우촌,음식,음식점,한식,전라북도,익산시,"고깃집은 무엇보다도 고기가 좋아야 한다는 인식하에 100% 한우고기만을 사용하고 있다. 황토성 한우촌은 맛의 고장 익산에서 명소가 되기 위해 노력하고 있다.주변 관광지로는 원광대학교자연식물원, 원광대학교박물관, 배산체육공원, 영등동유적, 원불교 익산성지, 익산구이리농림학교축산과교사, 익산문화원, 익산식물원 등이 자리하고 있다."
배불뚝집(신동점),음식,음식점,한식,전라북도,익산시,"20년의 경영 노하우와 전통의 맛을 갖고 있는 배불뚝집은 부대찌개, 곱창전골, 철판볶음 전문점이다. 의정부식 부대찌개의 전통적인 맛과 맛의 고장 전라도의 풍미적 미각을 접목시켜 지금의 배불뚝집을 만들었다. 메뉴가 단촐하지만 각각의 깊은 맛과 전통이 있는 매장이다. 주변 관광지로는 원광대학교자연식물원, 원광대학교박물관, 배산체육공원, 영등동유적, 원불교 익산성지, 익산구이리농림학교축산과교사, 익산문화원, 익산식물원 등이 자리하고 있다."
이조숯불갈비,음식,음식점,한식,전라북도,익산시,"이조숯불갈비는 익산 영등동에 위치한 모범 음식점으로 손꼽히는 곳이다. 대표 메뉴로는 국내산 갈비로 제공되는 돼지갈비이다. 소등심을 비롯하여 생삼겹, 고추장 불고기, 돼지 양념갈비 등의 메뉴를 즐길 수 있다.주변 관광지로는 영등동유적, 원불교 익산성지, 익산구이리농림학교축산과교사, 익산문화원, 익산식물원, 원광대학교박물관 등이 자리하고 있다."
화산식당 참붕어찜,음식,음식점,한식,전라북도,익산시,"화산식당 참붕어찜의 대표메뉴는 참붕어찜이다.1인분에 손바닥만한 크기의 붕어 두 마리가 들어가고 시래기, 감자, 무, 대파, 통마늘 등과 함께 양념장에 30~40분간 조려내 먹는다.주변 관광지로는 영등동유적, 원불교 익산성지, 익산구이리농림학교축산과교사, 익산문화원, 익산식물원, 원광대학교박물관 등이 자리하고 있다."
정통추어탕숙회,음식,음식점,한식,전라북도,익산시,"이곳은 국내산 미꾸라지를 쓰며 모든 음식을 손수 만든다. 추어탕은 사계절 음식으로 칼슘이 많고 특히 여성에게 좋은 음식이다. 또 숙회와 미꾸라지 튀김은 별미 중 별미 음식이다.주변 관광지로는 영등동유적, 원불교 익산성지, 익산구이리농림학교축산과교사, 익산문화원, 익산식물원, 원광대학교박물관 등이 자리하고 있다."
청목,음식,음식점,한식,전라북도,익산시,"청목은 흑임자죽, 구절판, 호박전, 고구마튀김, 탕수육, 홍어무침, 쑥떡, 샐러드, 잡채, 홍어회와 수육, 무동치미, 묵은지, 야채, 미역국, 가지야채말이, 갈비, 연어, 버섯떡갈비, 제육볶음, 게무침 등 이밖에도 기본 반찬이 다양하고 후식까지 준비된다. 주변 관광지로는 영등동유적, 원불교 익산성지, 익산구이리농림학교축산과교사, 익산문화원, 익산식물원, 원광대학교박물관 등이 자리하고 있다."
노령산맥,음식,음식점,한식,전라북도,익산시,"깔끔한 돼지갈비의 맛을 자랑하는 노령산맥은 깔끔하고 편안한 분위기 속에서 즐겁게 식사를 할 수 있는 고급 음식점이다. 주변에 남부시장이 위치해 있고 새만금과 웅포, 익산의 역사유적 지구를 찾는 관광객들에게 주변 관광지를 모두 아우를 수 있다는 지리적인 이점이 있다."
전주소바,음식,음식점,한식,전라북도,익산시,"주 메뉴로는 메밀국수, 세꼬시 등이 있다. 이곳은 2대째 이어 운영되고 있으며 메밀을 전문으로 하는 음식점이다. 유기농 다시마 간장과 8가지의 각종 재료를 섞어 만든 독자적인 소스가 인기이다.주변에 남부시장이 위치해 있고 새만금과 웅포, 익산의 역사유적 지구를 찾는 관광객들에게 주변 관광지를 모두 아우를 수 있다는 지리적인 이점이 있다."
뚱보네 숯불구이,음식,음식점,한식,전라북도,익산시,"뚱보네 숯불구이는 한우숯불구이, 설렁탕, 육사시미 등을 주 메뉴로 많은 손님들을 맞이하고 있다.주변에 매일시장이 위치해 있고 새만금과 웅포, 익산의 역사유적 지구를 찾는 관광객들에게 주변 관광지를 모두 아우를 수 있다는 지리적인 이점이 있다."
수림가든,음식,음식점,한식,전라북도,익산시,"수림가든은 참숯에 구워 먹는 오리생구이와 토속적인 밑반찬을 제공하는 오리전문점이다. 이곳은 참숯을 사용하여 오리 특유의 잡냄새를 제거했다. 오리가 단백질과 불포화지방산이 풍부해서 다이어트에도 좋은 건강식이라는 사실은 이미 잘 알려져 있다.미륵사지 유적, 두동교회, 교도소 촬영세트장, 성당포구마을, 남궁찬묘석상, 청동 조문경 등이 가까운 거리에 위치해 있어 주변 경관을 즐기기에나 명소를 찾기에도 좋은 위치에 있다."
산정호수가든,음식,음식점,한식,전라북도,익산시,"산정호수가든에는 민물매운탕, 메기찜, 송어회, 오리탕, 토끼탕, 닭볶음탕 등 영양식이 가득하다. 음식뿐 아니라 휴양 겸 리조트로 낚시도 할 수 있고 식당 바로 옆에 송천호수가 있어 경치가 좋다.주변 관광지로는 웅포 곰개나루, 웅포대교, 웅포 베어리버, 웅포문화체육센터, 붕새언덕마을, 입점리 고분전시관, 숭림사 보광전 등이 자리하고 있다."
미륵산순두부,음식,음식점,한식,전라북도,익산시,"이곳은 100% 우리 콩을 사용하여 두부를 만드는 집이다. 가장 인기 있는 메뉴는 순두부 백반이다. 미륵사지 유적, 익산토성, 금마저수지, 서동공원, 축구공원, 익산향교, 사자사지, 금마도토성, 아석정 등이 가까운 거리에 위치해 있어 주변 경관을 즐기기에나 명소를 찾기에도 좋은 위치에 있다."
방앗간의 추억,음식,음식점,서양식,전라북도,익산시,"익산시 춘포면에 자리한 방앗간의 추억은 이색적인 분위기가 돋보이는 식당이다. 따뜻한 조명이 실내를 채우며 와인수납장도 자리하고 있다. 이곳저곳 둘러보면 자그마한 소품들이 많아 구경하는 재미도 쏠쏠하다.주변 관광지로는 왕궁리유적, 왕궁리 5층석탑, 익산고도리석불입상, 수도산체육공원, 익산식물원 등이 자리하고 있다."
갈마가든,음식,음식점,한식,전라북도,임실군,"임실읍내에서 남원으로 나가는 교차로 옆에 있다. 밖에서는 보이지 않지만 작은 언덕을 오르면 넓은 식당 마당이 나온다. 건너편으로 임실 치즈테마파크가 한눈에 들아오는 경치좋은 곳이다. 식당에서 가장 먼저 보이는 것은 오리농장. 청둥오리 수백마리가 나이별로 나뉘어져  있고, 다른 한켠에는 귀하다는 실크오골계가 예쁜 모습으로 수 십마리 모여 있다.또 마당주변에는 홍매화 빙둘러 심어진게 마치 전원주택에 와 있는 느낌이다. 이러한 풍경의 갈마가든은 청둥오리 요리집으로 소문이 자자한 곳이다. 여러 방송 프로그램에서 이미 청둥오리와 실크오골계를 이곳에서 촬영했을 뿐 아니라, 수많은 음식축제에 초청받아 나간 바 있다."
광명가든,음식,음식점,한식,전라북도,임실군,"광명갈비는 돼지갈비와 오리, 소불낙전골이 주 메뉴이다. 넓은 홀과 편리한 주차시설을 완비하고 있다.주변의 문화재로는 임실 이도리 미륵불상, 임실향교 대성전을 찾아볼 수 있고 가까이에 즐길 수 있는 군자정, 동막저수지, 세심자연휴양림, 물 맑기로 소문난 섬진강 상류에 자리 잡은 옥정호와 운암대교 등이 위치해 있어 주변 경관을 즐기기에나 명소를 찾기에도 좋은 위치에 있다."
대만원,음식,음식점,중식,전라북도,임실군,"임실시내 대로변에 위치하고 있으며 임실터미널에서 가깝다. 전주 남원등지에서 짬뽕 먹으러 임실까지 온다는 곳이 바로 여기다. 전해 세련되지 않은 시골 중국집 그대로의 모습이지만, 30년 동안 한곳에서 똑같은 맛의 짬뽕을 만들고 있는 탓이다.야채와 해물을 볶은 다음 다시 한번 국물에 넣어 끓인 다음 면과 함께 나오는데, 일명 불맛이 난다. 때문에 알싸하면서도 끝맛이 개운하다. 주방을 살짝 들여다 보면 해물과 야채를 볶을 때는 불이 가슴까지 올라오는 모습이 신기하다. "
도봉집,음식,음식점,한식,전라북도,임실군,"임실의 순대국밥은 시중에서 판매되는 인조순대와 다르게 옛 전통 그대로의 순대국밥이다. 이곳의 전통피순대는 KBS 라디오 프로인 맛자랑 시간에도 소개된 적이 있다.주변의 문화재로는 임실 이도리 미륵불상, 임실향교 대성전을 찾아볼 수 있고 군자정, 동막저수지, 세심자연휴양림 등을 즐길 수 있다."
섬진강 오리명가,음식,음식점,한식,전라북도,임실군,섬진강 오리명가의 대표 음식은 오리구이다. 오리고기는 알카리성 식품으로 많이 섭취하면 몸안의 각종 독을 풀어주는 대사조절 기능을 돕는 음식으로 알려지며 건강을 생각하는 사람들 많이 찾는 웰빙 음식으로 자리잡았다.또한 피부 미용에 좋다고 하여 여성들도 많이 찾는다. 섬진강 오리명가의 오리구이는 오리고기 특유의 담백한 맛이 잘 살아 있어 인기가 좋다.
성미당,음식,음식점,한식,전라북도,임실군,"임실읍내 중심가에 자리잡고 있다. 임실 터미널 건너편 고딕풍으로 지어진 임실 성당 옆이 정확한 위치다.  성미당은 임실에서는 상당히 큰 식당이다. 이 집의 대표요리는 한방삼계탕. 30년 동안 임실읍내에서 오직 삼계탕만 끓여오다가 2년여전 지금의 자리로 옮겨왔는데 삼계탕에 관한한 전북도내에서 알아주는 식당이라 할만하다. 남도 음식축제가 열릴때마다 임실의 대표로 나가 삼계탕 요리를 해왔던 역사도 있다. 특히 영양돌솥밥은 흑미와 당근,옥수수,완두콩을 써 오방색들 맞추고 계절마다 나는 음식을 조합해 음행오행을 맞추었다."
수어촌,음식,음식점,한식,전라북도,임실군,도심에 있는 식당들과 달리 수어촌은 운안면 시내에 자리하고 있는 빨간 벽돌로 지은 단층 가옥에서 영업을 하고 있다. 식당 입구에 높다랗게 세워진 노란 간판이 멀리서도 눈에 잘 띈다.수어촌에서는 다양한 민물고기 음식을 맛볼 수 있다. 이 식당의 대표적인 메뉴는 붕어찜과 메기탕이다.90석 규모의 식당 내부는 가정 집을 식당으로 운영하는 것이기에 넓은 거실과 방들이 나뉘어져 있어서 가족 모임과 단체 모임에 이용하기 좋다. 식당 앞에는 넓은 주차 공간이 마련되어 있다.
감로헌,음식,음식점,한식,전라북도,전주시,"‘감로’란 신선이 먹는 불로, 불사, 기사회생의 물, 태평성대에 하늘에서 내리는 단물을 뜻한다. 약선이란 건강하게 살고 싶다는 인간의 욕망에서 나온 중국의 오랜 식문화에서 발생된 한방 요리로 한의학의 이론에 근거하며 생약이나 그 밖의 약용 가치가 높은 먹거리를 잘 조합하여 조리한 전통적인 영양식이다. 이곳에서는 매운닭구이, 감로 삼합, 감로 비프카르파쵸, 감로 꼬리곰탕, 송이갈비구이 등 다양한 요리를 선보이고 있다. 주변의 문화재로는 조경단을 찾아볼 수 있고 가까이에 즐길 수 있는 전주종합경기장, 야구장, 금암공원, 덕진공원 등이 자리하고 있다."
계림닭오리 전문점(아중점),음식,음식점,한식,전라북도,전주시," 계림은 메인음식만 뿐만 아니라 밑반찬도 여느 한정식집처럼 보통 10가지 정도가 준비되고, 회식이나 계모임이 예약되면 잡채며 전, 튀김 등을 추가해 12가지 이상 상에 올린다. 인후동 석불입상, 한옥마을, 경기전, 풍남문, 전주동물원, 전주명품관 등이 가까운 거리에 자리하고 있어 주변 경관을 즐기기에나 명소를 찾기에도 좋은 위치에 있다."
계림닭오리 전문점(평화점),음식,음식점,한식,전라북도,전주시,"계림닭오리코스요리전문점은 토종닭과 토종오리를 이용해 양이 많고 코스정식이 준비되어있어 각종 모임에도 이용하기 좋다. 완산공원, 모악식물원, 천경대, 학소암, 한옥마을, 막걸리타운 등이 가까운 거리에 자리하고 있어 주변 경관을 즐기기에나 명소를 찾기에도 좋은 위치에 있다."
고귀,음식,음식점,한식,전라북도,전주시," 전주시 송천동 1가에 위치한 고귀로, 입구에 들어서면 밝고 깔끔한 분위기가 제법 고급스러워 보인다. 다양한 한우부위부터, 모듬메뉴, 세트메뉴 등을 즐길 수 있다. 주변의 문화재로는 추천대를 찾아볼 수 있고 가까이에 즐길 수 있는 덕진공원, 전주동물원, 전주드림랜드 등이 자리하고 있다."
고창심원풍천장어,음식,음식점,한식,전라북도,전주시,"고창심원풍천장어는 장어구이, 장어양념더덕구이전문점이다. 다가공원, 풍남문, 화산서원비, 한벽당, 경기전, 한옥마을, 선충사 등이 가까운 거리에 자리하고 있어 주변 경관을 즐기기에나 명소를 찾기에도 좋은 위치에 있다."
그랑삐아또(중화산본점),음식,음식점,서양식,전라북도,전주시,"아기자기한 인테리어와 맛있는 이탈리안 피자가 유명하다. 그랑삐아또는 이태리어로 ‘큰 접시’란 뜻으로 전문 요리사로 구성된 조리팀이  조리하는 치킨 샐러드, 각종 파스타와 피자를 먹을 수 있다.주변의 문화재로는 문학대와 황강서원이 있으며 천고사, 만덕사, 칠성사 등의 사찰이 가까이에 자리하고 있다. 그 밖의 다가공원, 풍남문, 화산서원비, 한벽당, 경기전, 한옥마을 등이 가까운 거리에 있다."
꽃담,음식,음식점,한식,전라북도,전주시,"꽃담은 한우 암소 고기를 전문으로 다룬다. 이곳은 맛의 정성과 친절, 위생 세 가지를 기본 정신으로 삼고 있다. 또한 꽃담에서 제공되는 야채는 매일 새벽에 직송되고 있다.주변의 문화재로는 조경단, 황강서원, 화산서원비을 찾아볼 수 있고 가까이에 전주동물원, 덕진공원 등이 자리하고 있다."
한나낙지마당(평화점),음식,음식점,한식,전라북도,전주시," 한나낙지마당은 낙지전문점으로, 싱싱한 낙지 그대로를 산낙지로도 즐길 수 있고, 연포탕, 불낙전골, 낙지볶음 등 다양한 요리로도 즐길 수 있다. 완산공원, 모악식물원, 천경대, 학소암, 한옥마을, 막걸리타운 등이 가까운 거리에 자리하고 있다."
남원 논두렁 추어탕,음식,음식점,한식,전라북도,전주시,"남원 논두렁 추어탕 집은 무공해로 재배한 신선한 열무우거지와 남원에서 골라온 미꾸라지를 이용하여 깔끔한 맛을 낸다. 미꾸라지를 갈아낸 다음 삶아 갖은 양념에 섞어 푹 끓여 필요한 영양소를 파괴시키지 않는다. 미꾸라지 튀김은 별미 중 별미 음식이다. 1인 1국밥 주문시 리필도 가능하다. 다가공원, 풍남문, 화산서원비, 한벽당, 경기전, 한옥마을, 선충사 등이 가까운 거리에 위치해 있어 주변 경관을 즐기기에나 명소를 찾기에도 좋은 위치에 있다."
남원본가 추어탕,음식,음식점,한식,전라북도,전주시,"남원본가 추어탕은 미꾸라지를 갈아낸 다음 삶아 갖은 양념에 섞어 푹 끓여 필요한 영양소를 파괴시키지 않는다. 또 숙회와 미꾸라지 튀김은 별미 중 별미 음식이다. 다가공원, 풍남문, 화산서원비, 한벽당, 경기전, 한옥마을, 선충사 등이 가까운 거리에 자리하고 있어 주변 경관을 즐기기에나 명소를 찾기에도 좋은 위치에 있다."
농장집,음식,음식점,한식,전라북도,전주시,"농장집은 월남쌈과 삼겹살 등을 함께 먹을 수 있는 독특한 음식점이다. 월남쌈 메뉴 외에도 삼계탕 등의 메뉴가 인기가 좋다. 모악산 도립공원, 막걸리타운, 완산공원, 다가공원, 전주 풍패지관 등이 가까운 거리에 자리하고 있어 주변 경관을 즐기기에나 명소를 찾기에도 좋은 위치에 있다."
다께야,음식,음식점,일식,전라북도,전주시,다께란 곧은 절개를 상징하는 대나무를 이야기 한다. 작은 정원으로 시작되는 다께의 인테리어는 진정한 재패니즈 레스토랑의 모양을 선보인다.
도도보쌈,음식,음식점,한식,전라북도,전주시," 도도보쌈은 족발과 보쌈 전문점이다. TV추천 맛 집에도 소개된 바 있으며, 족발과 보쌈을 함께 즐길 수 있는 모듬 메뉴인 스페셜메뉴가 있다."
러브하우스 레스토랑,음식,음식점,서양식,전라북도,전주시,"러브하우스 레스토랑의 스테이크는 독특한 향과 맛을 즐길 수 있도록 품질 좋은 고기를 사용하고있다. 각종 해산물과 미트 토마토소스가 어우러진 해산물 스파게티와소고기 안심을 그릴에 구운 안심스테이크가 인기다. 이곳은 손님들을 위해 라이브 공연도 이루어진다.주변의 문화재로는 추천대를 찾아볼 수 있고 가까이에 즐길 수 있는 덕진공원, 전주동물원, 전주드림랜드 등이 자리하고 있다."
맥령각감자탕,음식,음식점,한식,전라북도,전주시,"맥령각 감자탕 전문점의 감자탕은 얼큰한 국물뿐 아니라 뱃속을 채워줄 감자와 고기가 가득하다. 완산공원, 모악식물원, 천경대, 학소암, 한옥마을, 막걸리타운 등이 가까운 거리에 자리하고 있어 주변 경관을 즐기기에나 명소를 찾기에도 좋은 위치에 있다."
명문일식횟집,음식,음식점,일식,전라북도,전주시,"모든 회는 그 자리에서 떠준다. 고급어종을 즐기고 싶은 사람들을 위한 특별한 회도 준비되어있다.다가공원, 풍남문, 화산서원비, 한벽당, 경기전, 한옥마을, 선충사 등이 가까운 거리에 자리하고 있어 주변 경관을 즐길 수 있다."
목우촌명가(동산점),음식,음식점,한식,전라북도,전주시,"목우촌명가는 100% 목우촌돼지고기만을 사용하고 있다. 고기뿐만 아니라 이곳은 항상 야채가 준비되어 있다. 목우촌 명가는 맛의 고장 전주에서 명소가 되기 위해 자만하거나 게으르지 않고 끊임없이 노력하고 있다.대한식물원, 전주월드컵경기장, 호남제일문 등이 가까운 거리에 자리하고 있어 주변 경관을 즐기기에나 명소를 찾기에도 좋은 위치에 있다."
밀다원,음식,음식점,한식,전라북도,전주시,"밀다원은 밀가루에 콩, 쑥, 양파, 도토리와 한약재를 혼합해서 만든 반죽으로 밀다원만의 칼국수를 끓여 준다. 해물은 7가지 재료를 넣어서 만든 육수에 생바지락과 새우를 넣어서 요리한다. 시원한 국물과 푸짐한 해물을 맛볼 수 있는 해물칼국수는 이 집의 대표 메뉴이다."
바다꽃게탕 본점,음식,음식점,한식,전라북도,전주시,"바다꽃게탕 본점의 해물찜은 각종 신선한 해물과 몸에 좋은 각종 야채를 곁들여 푹 쪄낸다. 아귀찜, 꽃게와 꽃게찜과 왕새우찜 외에도 해물탕, 아귀탕이 준비되어 있다. 극락암 목조여래좌상, 풍남문, 조경묘, 전동성당, 한벽당 등이 가까운 거리에 자리하고 있어 주변 경관을 즐기기에나 명소를 찾기에도 좋은 위치에 있다."
반야돌솥밥,음식,음식점,한식,전라북도,전주시,"이곳은 전국 최초로 돌솥밥을 개발하여 1980년 4월에 ‘반야돌솥밥’이라는 간판을 내걸고 있다. 30여 년 세월의 흐름 속에서도 반야돌솥밥만의 정성이 담긴 맛과 철저한 위생으로 고객을 맞이하고 있다. 반야돌솥밥은 들에서 나는 곡식과 야채로 곱돌솥에 밥을 지어 밥맛이 일품이다.  비빔밥은 큰 솥에서 밥을 해 따로 그릇에 퍼서 비벼먹는 반면, 돌솥밥은 개인용 곱돌솥에다 갖은 곡식과 야채를 넣어 밥을 하기에 밥 하나만으로 영양이 가득하고 위생적이다. 장수에서 특별히 맞춤 제작한 곱돌솥에다 맵쌀, 찹쌀, 보리쌀, 검정콩, 완두콩, 옥수수, 당근, 밤, 은행, 연근, 대추, 우엉, 표고버섯 등 많은 곡식과 야채를 넣어 만드는 돌솥밥의 모든 재료는 순수 국내산만을 사용한다.한옥마을, 경기전, 풍남문, 전주 풍패지관 등이 가까운 거리에 위치해 있어 주변 경관을 즐기기에나 명소를 찾기에도 좋은 위치에 있다. 주변의 문화재로는 문학대와 황강서원이 있으며 천고사, 만덕사, 칠성사 등의 사찰이 가까이에 자리하고 있다."
배불뚝집(효자점),음식,음식점,한식,전라북도,전주시,"20년의 경영 노하우와 전통의 맛을 갖고 있는 배불뚝집은 부대찌개, 곱창전골, 철판볶음 전문점이다. 메뉴가 단촐하지만 각각의 깊은 맛과 전통이 있는 매장이다. 주변의 문화재로는 문학대와 황강서원이 있으며 천고사, 만덕사, 칠성사 등의 사찰이 가까이에 자리하고 있다."
봉창이 해물칼국수,음식,음식점,한식,전라북도,전주시,"해물칼국수는 이 집의 대표 메뉴이다. 해물, 새우, 바지락 삶은 물, 북어채, 다시마, 무를 삶아서 우려낸 육수는 담백하고 시원하다. 조경단, 지행당, 한국소리문화의 전당, 전주문화원, 전주객사, 전주한옥마을 등이 가까운 거리에 자리하고 있어 주변 경관을 즐기기에나 명소를 찾기에도 좋은 위치에 있다."
산내골,음식,음식점,한식,전라북도,전주시,"산내골의 오리 맛은 한마디로 묘한 매력이 있다고 말한다. 먹으면 일정기간 못 잊고 자꾸 생각나는 묘한 맛의 비결이 도대체 무엇인지 궁금해 하는 고객들 또한 적지 않다고.완산공원, 모악식물원, 천경대, 학소암, 한옥마을, 막걸리타운 등이 가까운 거리에 자리하고 있어 주변 경관을 즐기기에나 명소를 찾기에도 좋은 위치에 있다. 산내골에서 저렴한 가격으로 맛있는 고기와 식사를 즐겨보자!"
산마을 오리정 (서곡점),음식,음식점,한식,전라북도,전주시," 올해 14주년을 맞이하게 된 산마을오리정은 스포츠서울이 선정한 2007년 고객만족 프랜차이즈 경영 대상을 수상하여 웰빙산업의 대표주자로 손꼽힌다. 이 곳에 가면 정말 색다른 생오리불고기를 맛볼 수 있다. 그동안 웰빙 트렌드에 부합하여 오리 요리는 다양한 형태의 요리로 개발되어졌지만, 산마을오리정의 단일메뉴인 생오리불고기는 가히 오리 요리의 ‘백미’라고 할 수 있다. 자체 개발한 소스와 각종 야채, 양념들과 어우러진 신선한 오리의 그 맛은 ‘짜지도 맵지도 느끼하지 않는 것’이 이루 말할 수 없을 정도로 강한 매력을 지니고 있다. 주변 관광지로는 전라남도 기념물 제24호인 문학대와 문화재자료 제12호인 황강서원, 전주역사박물관 등이 자리하고 있다."
석기시대,음식,음식점,한식,전라북도,전주시,"갖은 재료로 맛있게 만든 양념에 절인 돼지갈비는 어린 아이들도 즐겨 먹을 만큼 부드럽고 담백하다. 주변의 문화재로는 추천대를 찾아볼 수 있고 가까이에 즐길 수 있는 덕진공원, 전주동물원, 전주드림랜드 등이 자리하고 있다."
성미당,음식,음식점,한식,전라북도,전주시," 성미당은 전라북도 향토음식 지정업소로서 48년간 한결같이 옛날 그대로의 맛을 유지하고있다. 주메뉴로는 육회비빔밥, 삼계탕, 떡국 전문이다. 육회비빔밥은 시골물에 지은 밥을 프라이팬에 콩나물, 찹쌀고추장, 참기름을 넣고 약한 불에서 미리 비벼 내오고 먹을 때 2차로 다시 비벼먹기 때문에 무척 맛이 있다.일반적으로 모주를 곁들여 먹는데 모주는 알코올 성분이 거의 없어 술이라기보다는 음료수에 가깝다. 찹쌀고추장, 간장은 직접 집에서 담아서 사용하며 참기름 또한 직접 짜서 사용하고 있다. 그릇 또한 돌그릇이 아닌 놋그릇을 계속 사용하고 있다. 한옥마을, 경기전, 풍남문, 전주 풍패지관 등이 가까운 거리에 위치해 있어 주변 경관을 즐기기에나 명소를 찾기에도 좋은 위치에 있다."
소판돈,음식,음식점,한식,전라북도,전주시,"부드럽고 담백한 1등급 한우 요리를 맛보고 싶다면 소판돈으로 가보자. 소판돈은 좋은 한우만을 엄선하고, 점심 메뉴로 새싹정식, 불낙/갈낙 전골 김치찌개가 인기가 좋다. 인후동 석불입상, 한옥마을, 경기전, 풍남문, 전주동물원, 전주명품관 등이 가까운 거리에 위치해 있어 주변 경관을 즐기기에나 명소를 찾기에도 좋은 위치에 있다."
솔가,음식,음식점,한식,전라북도,전주시,"솔가의 돼지갈비는 달콤하면서도 뒷맛이 깔끔하다. 주변의 문화재로는 추천대를 찾아볼 수 있고 가까이에 즐길 수 있는 덕진공원, 전주동물원, 전주드림랜드 등이 자리하고 있다."
