걷는길 명칭,코스명,지역1,난이도,상세거리(km),소요시간(시),소개
대청호오백리길,17구간 사향길,충북 청주시 청원구,어려움,14,7,"소전리 보건소에서 도로를 걸어 내려와 삼거리 왼쪽 소전교를 건너 후곡리를 향하여 걷는다. 폭 좁은 시골 도로가 잘 나있지만 오르막길이다. 약 1.3km 오르면 수몰된 주민들이 고향을 그리워하며 세운 사향비를 만난다. 사향비 앞에서 산행을 시작해 257봉, 220봉, 216봉, 228봉을 걸어 지금은 수몰되어 흔적도 없지만 고인돌 발굴지인 가호리로 나온다. 가호리에서 바라보이는 넓은 대청호를 바라보며 수몰된 마을이 있었음을 알려주는 동복 오씨 비각과 오래된 상수리나무 앞을 걸어 빠져나온다. 흰찔레꽃이 흐드러지게 핀 들길을 걸어 후곡리 버스종점과 대각사를 지나 산등성이를 올라탔던 사향비 앞을 지나 출발지인 소전교에서 마친다. 후곡리 버스종점에서 오른쪽으로 걸어 막다른 마을인 진사골을 둘러보고 와도 좋다."
금오서원 녹색길,금오서원 녹색길,경북 구미시,보통,4,1.5,"금오서원 녹색길은 지역 문화 유산인 야은 길재선생의 충절을 기리기 위하여 구미시 선산읍 원리에 세운 금오서원 주변에 위치하며 인근에는 구미보 및 지역문화자원인 독동의 반송, 낙산고분군, 봉화대 등이 있어 낙동강 및 구미보의 경치를 느낄 수 있는 산책로 이다. 또한 낙동강 제8경(두루미의 군무), 구미보 하류의 뛰어난 경관을 볼 수 있다"
대청호오백리길,18구간 장수바위길,충북 청주시 청원구,보통,12,6,이 구간은 옥색의 대청호반을 오래도록 감상하면서 걸을 수 있는 길이다. 소전리의 입구인 소전교에서 대청호수를 왼쪽에 두고 염티소전길을 걸어간다. 아스팔트의 좁은 길이지만 차도 띄엄띄엄 다니고 오래된 미루나무가 시원한 바람과 그늘을 만들어 주어 한여름에도 걷기엔 그만인 길이다. 약 5km 걸어 월리사 입구를 지나 염티교를 건너 509번 도로와 합류한 뒤 문덕리마을 안으로 들어간다. 마을을 가로질러 배나무 과수원길을 따라 대청호가 생기기 전의 옛 문덕리마을터 뒷산인 236봉으로 오른다. 산을 오르다보면 넓고 커다란 바위를 볼 수 있는데 마치 누군가 백설기를 썰어 놓은 듯한 사각형의 장수바위에 올라 산의 전경을 한번 둘러본 뒤 다시 산불감시초소가 있는 234.9봉을 향하여 올라간다. 산불감시초소를 약 100m터 내려와 통신탑을 지나 509번 도로와 연결된 문덕교(묘암삼거리)를 건넌다. 문덕교에서 약 100m걸어 왼쪽 작은 개울의 돌다리를 건너 왜마루마을 앞을 지나 상산마을로 들어선다. 상산마을 입구의 정자에서 잠시 휴식을 취하며 18구간을 마친다.
대청호오백리길,18-1구간 마동 창작마을길,충북 청주시 청원구,쉬움,9,3,"509번 지방도로 문덕교를 건너기 전 삼거리에서 마동창작마을 푯말이 표시된 방향인 묘암리로 걸어간다. 묘암리 버스정류장에서 왼쪽 좁은 시골길로 약 4km 정도 걸어가면 폐교된 회교국민학교가 마동창작마을로 변신해 화가, 조각가 등 예술가 3분이 둥지를 틀고 창작활동을 하시는 마동창작마을에 도착한다. 이곳에서 교실을 리모델링해 멋지고 운치있게 만든 갤러리 찻집에서 차 한 잔 마시고 조각과 그림 등 작품을 감상할 수 있다. 마동창작마을이 마을 끝이기 때문에 다시 들어왔던 묘암 삼거리로 돌아나오면 18구간 지선이 끝난다."
대청호오백리길,19구간 청남대 사색길,충북 청주시 청원구,보통,12.5,6,"문의면 상산마을 뒤 오래되고 큰 은행나무가 있는 소류지와 인삼밭길을 지나 청남대 제 2관문으로 가기위해 326봉으로 올라간다. 약 3km 정도를 산행을 하여야한다. 도중 왼편에 보이는 대청호수 바라보며 걸으면 어느새 청남대 2관문에 닿는다. 역대 대통령 별장이었던 청남대 길에서 문의면 시내 방면으로 걸어간다. 청남대가 대통령 별장이었던 만큼 길도 아름답게 꾸며져 있으며, 양쪽엔 침엽수와 활엽수들이 웅장하게 숲을 이루며 자라고 있고 왼쪽엔 대청호수가 펼쳐져 있어 발걸음을 더욱더 가볍게 해 준다. 약 3km를 걸어 한일병합 때 순절한 조장하(趙章夏)의 위패를 봉안한 사당인 기산사를 지나 청남대 산삼농원 앞 삼거리에서 왼쪽 길로 들어서 좌골로 향한다. 좌골마을 뒤로 2km 정도를 걸으면 청남대 길을 다시 만난다. 이 길에서 청남대 방향으로 30m 정도 올라가면 길 건너 구석기 시대 동굴 유적인 작은 용굴을 둘러 볼 수 있다. 마치 용이 승천하기 전에 머물렀을 듯한 형태로 굴이 파여 있어 용굴이라는 이름이 붙여진 듯하다. 작은 용굴에서 문의 괴실마을 방향으로 걸어 삼거리 바로 지나 괴곡 버스정류장 맞은 편 길로 들어서 노현리 생태습지공원을 향해 걸어간다. 생태습지공원으로 가는 도중 상장리와 노현리 사이엔 수양버들과 키 큰 갈대숲이 우거져 있어 여름에 걸으면 몸과 마음이 온통 초록으로 바뀌는 듯한 기분을 만끽 할 수 있는 싱그러운 길이다. 노현리 생태습지공원은 처음엔 농업용수로 사용하기위해 조성한 소류지였으나 지금은 사용하지 않아서인지 자연 전이가 진행되어 수련, 연, 부들, 난초 등 다양한 수생식물이 군락을 이루어 서식하면서 야생조류의 산란처, 서식처 역할을 하고 있는 중요한 습지가 되었다. 생태습지공원에서 19구간을 마친다."
풍기인삼 개삼터길,풍기인삼 개삼터길,경북 영주시,보통,7,4,"풍기인삼 최초 재배지이며, 정감록의 제1승지인 풍기읍 금계리 일원에 조성된 풍기인삼 개삼터 길은 전체코스가 7km로 약 2시간 10분 정도 소요 되며, 금선계곡 주변에는 정자, 쉼터 등을 설치하였으며, 탐방로에 장생이 녹색농촌체험마을이 있어 농산물 수확 등 현장농촌체험 관광을 함께 할 수 있는 길입니다."
대청호오백리길,20구간 문의 과거마을길,충북 청주시 청원구,보통,9,4.5,충북 청주시 청원구 문의면 노현교에서 노현리 생태습지공원 옆으로 난 길을 따라 왼쪽으로 대청호를 두고 들길을 걸어간다. 한 20분 걷다보면 데크가 설치된 509번 도로와 만나 넓게 펼쳐진 대청호를 바라보며 청원구 상하수도 사업소를 지나 미천리로 들어선다. 어릴 적 향수를 느끼게 하는 쌀 찧는 방앗간을 지나 왕버들나무 뒤 계단을 올라 문의면사무소를 지나 문의초등학교 정문으로 들어선다. 문의면에는 오랜 세월을 살아온 왕버들나무가 많아 왕버들축제도 하고 있는 고장이다. 문의초등학교 운동장을 가로질러 후문으로 나와 양성산 등산로길로 접어든다. 양성산성 갈림길에서 청원구 청소년 수련원을 지나쳐 문의문화재단지를 돌아본 뒤 청소년 수련원 입구에 있는 양성산 등산로로 들어선다. 양성산 등성이를 약 1시간 정도 산행해 내려오면 32번 도로와 만나 문의대교로 걸어 나와 20구간을 마친다.
대청호오백리길,21구간 대청 로하스길,충북 청주시 청원구,어려움,13,6.5,"충북 청주시 청원구 문의대교에서 시작해 산의 모양이 마치 아홉 마리의 용이 모여 있는 것과 같다고해 이름 붙여진 구룡산을 향해 올라간다. 1시간 정도 산행해 373m의 구룡산 삿갓봉에 오르면 커다란 여의주를 입에 문 용 한 마리가 길손을 맞는다. 삿갓봉에 올라서서 사방을 둘러보면 승천하는 용의 모양을 한 대청호를 한눈에 감상할 수 있다. 시원한 물 한 모금 마시고 삿갓봉에서 내려와 장승공원을 향해 걷는다. 해마다 6월에 장승축제를 열고 있는 이 공원에는 여러 가지 형상을 한 500여개의 장승이 길 양쪽에 세워져 있어 마치 환영행사를 하고 있는 듯한 착각을 일으킨다. 진장골마을을 지나 굽이굽이 열두 굽이 고개 중 열 굽이 구간에서 성마루 방향의 이정표를 따라 산행을 시작한다. 오른쪽에 대청호를 두고 240봉, 121봉, 111봉을 따라 내려와 현도취수장이 있는 곳으로 나온다. 하석 2리 마을 표지석이 있는 대전 방향으로 걸어 하석보건소 앞을 지나 조정지댐(용호교)를 건너 용호동 선사유적지를 잠깐 들른 뒤 대청댐 방향으로 걸어간다. 죽림정을 지나 강 줄기 데크를 따라 아름다운 금강의 풍경을 감상하면서 편안히 걸음을 옮겨 대청 문화전시관을 둘러본 뒤 대청호 물 문화관에서 21구간을 마친다."
대청호오백리길,14구간 장고개 구불길,충북 옥천군,어려움,8.5,5,장고개에서 오른쪽으로 발길을 돌려 용호리마을로 향한다. 약 4km를 걸으면 용이 살았다는 호수라는 마을인 용호리마을을 오른쪽에 끼고 계속 앞으로 걸어 나간다. 마을에서 약 2km정도 풀과 흙길이 어우러진 카펫 같은 길을 걸어가면 진걸반도가 보이는 끝지점으로 갈 수 있다. 뺑둘러 있는 대청호와 산세를 바람과 함께 감상하고 다시 되돌아 임도 삼거리인 화골 삼거리에서 마친다.
갑천누리길,01코스 도심 속 갑천길,대전 서구,쉬움,10.3,4,갑천 누리길 01코스 도심속 갑천길 . 갑천누리길은 도심속 농촌 마을의 아름다운 자연환경과 전통문화 유적지 그리고 친환경농업단지 등을 경유하여 풍요로운 자연의 혜택과 농촌문화를 체험 할 수 있는 총연장 39.9Km의 3개코스로 구성된 생태·문화 탐방로 입니다.
갑천누리길,"02코스 역사,문화,자연이 공존하는 갑천길",대전 서구,보통,16.6,4,"갑천 누리길 02코스 역사, 문화, 자연이 공존하는 갑천길. 갑천누리길은 도심속 농촌 마을의 아름다운 자연환경과 전통문화 유적지 그리고 친환경농업단지 등을 경유하여 풍요로운 자연의 혜택과 농촌문화를 체험 할 수 있는 생태·문화 탐방로 입니다."
갑천누리길,03코스 몸과 마음을 다스리는 장태산 숲길,대전 서구,보통,13,4,갑천 누리길 03코스 몸과 마음을 다스리는 장태산 숲길 . 갑천누리길은 도심속 농촌 마을의 아름다운 자연환경과 전통문화 유적지 그리고 친환경농업단지 등을 경유하여 풍요로운 자연의 혜택과 농촌문화를 체험 할 수 있는 총연장 39.9Km의 3개코스로 구성된 생태·문화 탐방로 입니다.
대청호오백리길,01구간 두메마을길,대전 대덕구,보통,11.5,6,"대청호 오백리길 1구간은 홍보관 바로 뒤편에서 시작된다, 약 2km의 잘 정비된 등산로를 가다보면 제 1보조댐 옆에 전망 좋은 곳이 보이고 다시 500m정도 더 나가면 제2, 제 3보조댐 주변에 공사가 한창이다. 2012년 12월 준공 기다리는 비상 여수로 공사장이다. 이곳에 전망공원, 물체험 캠프, 물 주제원 등이 들어선다고 한다. 다시 길을 걸어 대청호수 속으로 쭉 뻗은 113봉을 지나 158봉 미호산성에 오르면 청남대가 손에 잡힐 듯 보인다. 끝까지 나가보고 뒤돌아서 남쪽 경사면 낡은 계단길로 호숫가에 내려서면 대청호 푸른물을 만나게 된다. 여기에서 비상 여수로 공사가 한창인 제3 물막이댐 위를 지나 삼정마을 뒷산 131봉에 오르면 경주 이씨 묘가 나타난다. 묘소를 내려와 삼정동에 이르러 황토 2층집 ‘호숫가의 그림 두 편’이라는 레스토랑을 지나 삼거리를 건너 황토 유적인 '민평기 가옥'을 둘러본다. 고향을 생각한다는 ""사향비""와 공적비를 뒤로하고 용호교(보조댐)쪽으로 50m쯤 가다가 좌측 묘지 계단 길로 들어서 사유지 철망을 끼고 능선에 오른다. 송림길이 이어진 능선 큰길을 따라 대청댐 길로 100여m 나와 우측 배수로건너 묘지로 올라서면 203봉 넘어 덕고개에 다다른다. 덕고개에서 덕골로 200m쯤 내려오다 농사용 콘테이너를 지나 오른쪽으로 접어들어 골짜기를 오르면 탄약사 철책에 닿으니 왼쪽으로 50m 나가면 연봉(270.5m)으로 오르는 넓은 산길이 나온다. 연봉에서 갈전동으로 내려서면 많은 묘지에 다다르고 갈전동의 유래비가 있는 곳으로 내려온다. 갈전동은 갈대밭이 많아 갈대가 무성한 동네라는 의미로 '갈밭'이라 불러온 곳이며, 곳곳에 칡 또한 많아 칡갈(葛)자를 써 '갈전(葛田)이라는 의미의 갈전동이다. 갈전동을 지나 봄이면 분홍 진달래가 곱게 핀 대청호반을 끼고 약 1킬로 정도 걸어 여수바위를 지나, 안전하게 데크를 설치한 호수 둘레를 걸어가다 보면 뒷산의 땅모양이 먹는 배와 같이 생겼다하여 '배산'이라 불려 배이(梨)자를 써 이현동이 된 배고개 마을에 들어선다. 1구간의 끝은 이현동에서 마치게 된다."
낙동 다락논 녹색길,낙동 다락논 녹색길,경북 상주시,보통,1.7,1,산간 오지마을의 비탈진 경사에 만들어진 낙동 다락논은 낙동강이 만들어 낸 천혜의 농업경관과 밭과 논이 빼곡히 조성되어 절경을 이루고 있다.
대청호오백리길,02구간 찬샘마을길,대전 동구,보통,10,5,대청호 오백리길 2구간의 시작은 아늑하게 자리 잡은 작은 마을 배고개마을(이현동)을 둘러 본 뒤 찬샘마을이라 불리는 직동으로 향한다. 호반길(찬샘마을의 임도)를 따라 막다른 길까지 약 2킬로 정도 걸으면 연꽃이 물에 떠있는 모양의 명당자리가 있는 곳이라는 뜻의 한자 '연화부수(蓮花浮水)에서 유래하여 오늘날의 '부수동(芙水洞)이 되었다는 지금은 가구 한 채 없는 마을이 되어버린 부수골에 닿는다. 맞은편 청남대가 바라보이는 얕으막한 산에 올라 시원함을 즐기고 내려와 성치산 봉우리에 쌓은 대전시 기념물 29호 성치산성으로 향한다. 삼국시대에 쌓은 성으로 보이는 성치산성에서 내려와 대청호가 수몰되기 전의 옛길을 따라 다시 푸르고 맑은 호수를 끼고 걷다보면 윗피골(성황당고개)에 도착한다. 피골이라는 마을 이름은 후삼국시대 후백제 견훤의 군사와 신라가 노고산성에서 크게 싸워 피가 내를 이루어 '피골'이라 불러온 것을 후에 동의 이름을 한자로 표기할 때 '기장 직 (稷) '자를 써 직동(稷洞) 이라 하였다고 한다. 훗날 마을 사람들이 마을 이미지에 좋지 않은 것 같아 냉천수가 많이 나오므로 '찬샘마을'로 바꾸었다고 한다. 찬샘마을은 농촌체험의 학습의 장으로 널리 알려져 많은 도시민들이 자녀와 함께 많이 찾는 곳이다. 봄이면 산등성이를 가꾸어 넓게 조성된 매화꽃이 만발해 더욱더 아름다운 풍경을 연출해 주기도 한다. 성황당고개에서 대청호의 아름다운 풍광을 한눈에 바라볼 수 있는 찬샘정을 지나 냉천 버스 종점에서 2구간을 마친다.
대청호오백리길,03구간 호반열녀길,대전 동구,보통,12,6,대청호 오백리길의 3구간은 냉천골을 지나 물이 양갈래로 갈라진다해서 '양구래'라 부르는 곳을 걸어 마산동산성이라 표지판이 보이는 곳에서 선녀와 나무꾼의 전설이 있는 왼쪽의 사스미골로 들어선다. 약 2킬로 정도 산바람을 맞으며 완만한 산등성이를 걷다보면 대전광역시 기념물 제30호 마산동산성에 오른다. 마산동산성은 퇴뫼식 석축 산성으로 지금은 거의 허물어져 그 흔적만 조금 남아 있을 뿐이다. 마산동산성을 내려와 마산동반도 끝에 다다르면 고요하고 푸른 대청호가 시원하게 기다리고 있다. 반도를 돌아 사스미골 삼거리로 나와 고흥 류씨 묘소와 재를 지내는 관동묘려를 향해 걷는다. 관동묘려를 둘러보고 잘 포장된 길을 따라 걸으면 대전 최초의 사회복지시설인 미륵원을 만나게 된다. 원래의 미륵원 자리는 수몰되어 사라졌지만 그 옆 언덕위에 복원해 놓은 남루와 지금도 살고 계시는 회덕 황씨의 종부를 만나 뵐 수 있다. 미륵원을 나와 냉천길 삼거리를 지나 윗말뫼에서 말뫼(마산동 삼거리)로 나오면 3구간을 마치게 된다.
대청호오백리길,04구간 호반낭만길,대전 동구,보통,12.5,6,"대청호 오백리길 4구간의 시작은 마산동 삼거리 미륵원으로 들어가는 입구에서 시작된다. 미륵원 방향으로 들어가지 않고 도로를 따라 추동쪽으로 약 200m 내려가다 왼쪽으로 난 들길로 접어들어 갈대밭과 대청호수를 따라 걸어 약 10분정도 걷다 다시 도로로 빠져나와 마산동 정류소 삼거리에서 왼쪽 대청호수 방향으로 걸음을 튼다. 양쪽 포도밭 하우스를 지나면 아름다운 S자 갈대밭이 기다리고 있다. 이 둘레길은 몇 년 전 권상우와 김희선 주연의 '슬픈연가'를 촬영했던 아름다운 장소이기도 하다. 드라마 촬영지를 걸어 다시 들어왔던 길로 나와 취수장이 보이는 얕으막한 산길로 들어선다. 한적한 들길을 약 10분정도 걸어 다시 되돌아 나온다. 작은만이기 때문에 계속 전진할 수가 없어서다. 취수장 풍경을 둘러보고 가을이면 국화축제가 열리는 가을이라는 뜻이 담겨진 가래울마을(추동)로 향한다. 국화축제가 열리는 마을과 어울린다. 대청호 자연생태관도 위치하고 있어 아이들과 대청호에 대해 알아보고 공부할 수 있는 곳이기도 하다. 가래울마을을 둘러 나와 연꽃마을(주산동)으로 발길을 돌린다. 가는 길목에서는 황새바위도 볼 수 있다. 연꽃마을엔 여름이면 여러 종류의 연꽃들과 곤충들을 많이 볼 수 있고, 대전의 유명한 화가이신 송영호 화실에 들러 볼 수 있다."
선유동천 나들길,01코스,경북 문경시,쉬움,4,1,"고운 최치원도 극찬한 선유동천 나들길 1코스는 신선들이 머문다는 곳으로 우리나라 100대 명산인 대야산, 희양산이 병풍처럼 둘러싸여 있고 선유칠곡, 선유구곡의 볼거리와 옛추억길, 황토길, 데크로드길, 숲길, 수변감상길을 남녀노소 누구나 걸으며 즐길 수 있는 아름다운 풍경의 길이다."
대청호오백리길,05구간 백골산성 낭만길,대전 동구,보통,13,6,"대청호 오백리길 5구간은 폐고속도로 옆길 신상동에서 걷기에 좋게 잘 다듬어진 길을 따라 가면 왼쪽으로는 호반을 오른쪽으로는 흥진마을을 끼고 갈대 길 사이로 걷다보면 대청호가 가슴 속으로 들어오는 전망대를 만나게 된다. 약 1km 계속해서 걸으면 한방오리 요리로 유명한 ""조선""이라는 식당이 나온다. 식당을 지나 작은 사거리에서 왼쪽 방향의 백골산성으로 향한다. 약 300m를 걸으면 왼쪽으로 김정 선생의 묘와 재실이 보인다. 시간 여유가 된다면 선생의 사당과 묘를 둘러보고 가는 것도 좋다. 백골산성은 해발 340m 백골산에 쌓은 산성이지만 지금은 산성의 흔적을 거의 찾아 볼 수 없는 산성이 되었다. 산성에서 풍경을 바라보면 마치 남해의 다도해를 연상케 하는 아름다운 풍경과 맞은편 관동묘려가 훤히 보인다. 백골산성을 지나 신촌동 절골로 내려와 삼거리를 건너 “꽃님이네” 식당 방향으로 걸어간다. 아름다운 정원이 잘 꾸며진 “꽃님이네서 대청댐 풍경을 감상한 다음 다시 나와 신촌동 반도 끝까지 걸은 후 다시 되돌아 나와 2차선 도로를 걸어 방아실 삼거리(와정 삼거리)까지 걸어 나와 5구간을 마치게 된다."
선유동천 나들길,02코스 양산천愛 자연그대路,경북 문경시,보통,4.4,1.5,선유동천 나들길 2코스는 한국의 아름다운 하천 100선으로 지정된 용추계곡을 중심으로 월령대를 돌아오는 코스로 문경 8경인 용추는 수천년 동안 물에 닳아서 원통형 홈이 파져 있어 하트 모양을 이루고 있어 장관을 이루고 있고 월령대는 휘영청 밝은 달이 중천에 높이 뜨는 밤이면 희디흰 바위와 계곡을 흐르는 맑디 맑은 물 위에 어린 달 그림자가 아름답고 당만적인 곳이다.
만경강산 나루길,01코스 만경강산 나루길,경북 의성군,어려움,6.3,4,"만경강산 나루길은 낙동강변 3대 누각의 하나인 관수루를 시점으로 만경산 정상까지 평이한 산책로와 같은 등산로가 6.3km 조성되어 있으며 왕복 4시간 정도 소요된다. 낙단보 등 강 주변의 아름다운 풍광을 한 눈에 조망할 수 있는 전망루가 산 중턱에 설치되어 있어 천여년 전 낙정나루터를 이용하는 나그네의 안전을 기원하던 마애보살좌상, 율리수변생태공원 등을 굽어볼 수 있다."
신성계곡 녹색길,01코스,경북 청송군,보통,4.7,1.5,보현요양원을 지나면 아름다운 물길 사이 갯버들이 군락을 이루는 갯버들 하천길을 따라 걷다보면 어느새 방호 조준도(1576~1665)가 1619년에 건립한 정자인 방호정을 지나게 된다. 선비들에게 낙원과 같던 청송의 이름난 청송팔경 가운데서도 주왕산과 주산지를 제치고 제1경으로 뽑힌 신성계곡 초입 절벽 낭떠러지 위에 느티나무와 벗하면 우뚝 솟아있는 정자가 바로 방호정이다. 방호정을 지나 징검다리를 건너 계곡 옆 소나무 숲 사이 솔밭쉼터가 자리하고 있으며 과수원하천길을 지나 헌실교에 진입하게 된다.
걷고싶은 누리길,걷고싶은 누리길,광주 북구,어려움,6.6,3,"2007년 건설교통부의 「살고싶은 도시만들기 시범사업」 공모시 전국 1위로 선정된 각화동 시화(詩畵)마을과 연계함으로써 도·농간의 문화와 정취를 느끼면서 편안하게 걸을 수 있는 누리길을 조성하여 도시민들의 여가 공간으로 활용 가능하며, 본 노선과 무등산 청풍쉼터 사이에는 6Km의 자전거도로가 개설되어 있으며, 최근 외지인들에게도 널리 알려져 이용객이 급증하고 있는 무등산 옛길과도 연계됨으로써 무등산에 분포되어 있는 옛문화와 정취를 보다 더 많이 느낄 수 있어 도시민들의 여가공간으로서 활용도가 높은 길이다."
신성계곡 녹색길,02코스,경북 청송군,보통,3,1,"근곡리 마을을 지나 헌실교를 건너면 다리를 지나자 마자 왼편에 작은 봇도랑이 나온다. 봇도랑이란 '봇물을 대거나 물이 빠지도록 만들어 놓은 도랑'을 뜻하는 순우리말인데 이름도 참 예쁘다. 그 옆으로 작은 길이 있는데 이 길은 가을이면 물가에 갈대가 우거지고, 간간히 큰 나무가 그늘을 드리운다. 이 길을 따라 조금만 더 내려가면 갑자기 하늘에서 뚝 떨어트린 것과 같이 붉게 물든 바위가 가로막아 길손을 놀라게 한다. 신성계곡의 아름다운 절경을 대표한다 해도 허언이 아닌 이곳을 자암이라 부른다. 마을 사람들에 의하면 붉은 언덕이란 뜻의 '붉은 덤', 또 붉은 벽이라 하여 '적벽', 혹은 붉게 생긴 병풍이라 '붉은 병풍바위'등 애칭이 여러개다. 이를 지나 지소리 마을까지 진입하게 된다."
황룡강 누리길,01코스 황룡강 바람길,광주 광산구,쉬움,8.6,2.5,"시원하게 펼쳐진 황룡강과 들판(망월평야)를 바라보며, 백로를 벗삼아 바람을 따라 가는길, 먼 옛날 이곳을 지켜온 선조들의 흔적 앞에서 내일의 꿈과 희망을 속삭이는 길이다. 걷는 길 중간마다 쉼터가 있어 쉬엄쉬엄 걷기 좋은 길이다."
신성계곡 녹색길,03코스,경북 청송군,보통,4.7,2,"지소리 돌보를 건너면 곧바로 계곡 옆으로 난 과수원이 길손을 반긴다. 과수원을 가로지르는 길,짧지만 추억에 물드는 길이다. 이어 절경의 암벽으로 둘러싸인 계곡의 수려함을 볼 수 있는 백석탄을 만난다. 하얀 바위에 크고 작은 조약돌이 무리지어 올라있어, 물이 바위에 넘쳐흐르면 반짝빛을 발하고, 마른 날이면 새알같이 매끈하다. 하얀 바위는 만지면 손에 흰 가루가 묻어날 것만 같다. 한동안 넋을 놓으면 시간은 덧없이 흐르고, 물줄기에 마음까지 흘려보내게 된다."
황룡강 누리길,02코스 황룡강 선비 마실길,광주 광산구,보통,13.5,6,"용진산에 올라 황룡강을 마음에 담고, 너른 강을 건너 조선시대 대유학자인 고봉 기대승의 선비정신과 철학의 향기가 깃든 월봉서원과 백우산을 찾아가는길"
황룡강 누리길,03코스 황룡강 마을 안길,광주 광산구,보통,8.9,3.5,80년대 시간이 멈처 있는 듯한 임곡의 거리와 황룡강을 따라가는 마을안길에서 고향의 정취를 느낄수 있으며 오월을 상징하는 이팝나무 사이로 광주의 들불과 의병의 혼을 만날 수 있는길이다.
어등산 탐방 누리길,어등산 탐방 누리길,광주 광산구,보통,7,2.5,"한말 호남의병의 얼이 깃든 어등산은 광산구를 상징하는 명산이다. 아흡아홉 골짜기가 있는 어등산에는 무수한 전설이 있으며, 지금은 절터만 남아 있지만 천운사, 보광사 등 크고 작은 사찰이 많아 불교의 영지로도 이름이 높았다. 어등산의 명칭은 조선 중종 때 이미 사용되고 있었음을 알 수 있다. ‘믈고기가 용이 되어 하늘로 오른다’는 뜻을 가진 어등산에는 용과 관련된 전설이 많이 남아있다. 어등산의 최고봉인 석봉에 올라서면 북서쪽에서 남동쪽으로 유유히 흐르는 황룡강과 광활하게 펼쳐진 광산 들녘이 한눈에 들어온다."
몰래길,01코스 성곡지 주변로,경북 청도군,보통,6.5,1.5,"○ 청도군 풍각면 성곡리에 성곡댐을 주변으로 데크가 설치되어 있어 휴식공간으로 활용이 되고 있으며, 코미디철가방극장에는 개그관람을 위한 방문객이 많이 찾고 있다. 인근하여 그린투어센터에서는 성곡댐을 조망권으로 성곡리 마을의 농촌체험을 즐길 수 있는 공간이 있다. ○ 풍각면 성곡리와 각북면 남산리를 잇는 몰래길은 주변이 소나무 숲길로 걸어가면 생태체험을 느낄 수 있다. ○ 몰래길을 넘어서면 각북면 남산리가 있어 비슬산자락의 오크랜드의 숙박시설, 군불로 찜질방, 식당 그리고 최복호패션문화연구소가 있어 구경거리가 많다. ○ 비슬산자락에 위치한 고찰 용천사, 예술촌도 자리를 잡아가고 있으며, 주변 식당, 찻집이 있다."
동명 누리길,금암체육공원 ~ 대구시간경계,경북 칠곡군,쉬움,6.5,2,친환경 팔거천 생태하천을 따라 조성된 길을 걷는다. 이후 소박하고 아담한 동명면 시가지를 지나 송산저수지에 다다르면 황토콘크리트로 조성된 사색의 길을 지나게 되고 여기저기 조용한 사색에 잠기는 방문객을 만나게 됩니다. 임도를 따라 조성된 누리길을 지나며 시가지가 내려다 보이는 전망좋은 숲길에서 다시한번 자연에 대한 황홀경을 느끼고 다시 시가지로 내려와 고즈넉한 교외분위가와는 색다른 시가지의 느낌을 즐길수 있다.
범어사 문화체험 누리길,범어사 문화체험 누리길,부산 금정구,쉬움,2.3,1,"금정구 청룡동 온천천 ~ 친수공원 ~ 범어사로 연결되는 누리길을 조성해 놓았다. 이 빼어난 경치 덕에 예로부터 사람의 발길이 잦았고, 계곡을 따라 정자가 많이 들어서 기존 자연경관을 가장 잘 보존한 길이며, 걷는 이가 마치 자연과 하나가 된 듯한 듯 황홀경에 빠지는 길이다."
청량산 유림길,01코스 하늘다리,경북 봉화군,보통,5.5,4,"청량산 유림길은 물맑은 낙동강이 굽이쳐 흐르고, 사시사철 산새가 아름다워 예부터 소금강이라 불리웠으며, 옛선현이신 주세붕, 이황, 최치원, 김생 등 당대의 학자들이 수학을 한 흔적이 아직도 곳곳에 남아 있고, 청량사 절을 창건할 당시에 전설로 이어지는 우각총이 청량사 유리보전앞에서 영겁의 세월을 대변하여 주고 있으며, 특히, 청량산 하늘다리는 해발 800M지점의 선학봉과 자란봉을 연결하는 연장90M, 통과폭1.2M, 높이70M의 현수교량으로 천길아래로 펼쳐지는 풍광은 산책하는 사람이 마치 진경산수화에 들어온 듯 황홀경에 빠지며 외청량산의 아름다움도 마음껏 즐길 수 있다."
수영강 상류 누리길,수영강 상류 누리길,부산 금정구,쉬움,7.5,2,수영강 일대의 자연경관을 마음껏 즐기고 사색하며 걸을 수 있는 누리길을 조성
우륵교 연결길,우륵교 연결길,경북 고령군,쉬움,0.4,0.5,대가야의 역사와 문화 아름다운 자연 낙동강이 어우러진 친환경적 보행자 중심 도로로 누구나 찾아오고 싶고 고령의 농촌 풍경과 낙동강의 아름다움을 만끽하는 쾌적한 생활환경 조성길로 꼭 다시 오고 싶은 녹색길이며 낙동강의 가장 아름다운 강정고령보와 낙동강자전거길로 연결되어 있는 탐방길이다.
선동 누리길,선동 누리길,부산 금정구,쉬움,1.7,0.5,1946년 회동댐 축조이후 수십년간 통제되었던 회동수원지길로 연계하여 갈 수 있는 누리길을 조성했다.
